H_km,n_He,n_O,n_N2,n_O2,n_Ar,n_H,n_N,n_Anomal_O,T_K,rho
700,2.10E+12,1.27E+13,1.13E+11,3.97E+08,1.58E+06,2.26E+10,7.94E+11,1.82E+10,1.31E+03,3.75E-13
720,1.98E+12,1.02E+13,7.86E+10,2.63E+08,9.50E+05,2.22E+10,6.60E+11,1.70E+10,1.31E+03,3.03E-13
740,1.87E+12,8.21E+12,5.48E+10,1.74E+08,5.74E+05,2.19E+10,5.50E+11,1.59E+10,1.31E+03,2.46E-13
760,1.76E+12,6.62E+12,3.83E+10,1.16E+08,3.48E+05,2.16E+10,4.58E+11,1.48E+10,1.31E+03,2.00E-13
780,1.66E+12,5.35E+12,2.68E+10,7.74E+07,2.12E+05,2.13E+10,3.82E+11,1.38E+10,1.31E+03,1.63E-13
800,1.57E+12,4.33E+12,1.88E+10,5.19E+07,1.29E+05,2.10E+10,3.20E+11,1.29E+10,1.31E+03,1.34E-13
820,1.48E+12,3.51E+12,1.33E+10,3.48E+07,7.93E+04,2.07E+10,2.67E+11,1.22E+10,1.31E+03,1.10E-13
840,1.40E+12,2.85E+12,9.39E+09,2.35E+07,4.87E+04,2.04E+10,2.24E+11,1.12E+10,1.31E+03,9.06E-14
860,1.32E+12,2.32E+12,6.65E+09,1.59E+07,3.01E+04,2.01E+10,1.88E+11,1.04E+10,1.31E+03,7.50E-14
880,1.25E+12,1.89E+12,4.72E+09,1.07E+07,1.86E+04,1.98E+10,1.58E+11,9.67E+09,1.31E+03,6.23E-14
900,1.18E+12,1.54E+12,3.36E+09,7.30E+06,1.16E+04,1.95E+10,1.33E+11,9.01E+09,1.31E+03,6.00E-14
