H_km,n_He,n_O,n_N2,n_O2,n_Ar,n_H,n_N,n_Anomal_O,T_K,rho
640,1.49E+12,3.40E+12,1.65E+10,1.17E+08,1.08E+05,7.65E+10,1.27E+11,9.22E+09,1.02E+03,1.04E-13
660,1.38E+12,2.55E+12,1.02E+10,6.78E+07,5.52E+04,7.50E+10,9.91E+10,8.72E+09,1.02E+03,7.98E-14
680,1.28E+12,1.92E+12,6.33E+09,3.94E+07,2.83E+04,7.36E+10,7.78E+10,8.20E+09,1.02E+03,6.16E-14
700,1.18E+12,1.45E+12,3.94E+09,2.30E+07,1.46E+04,7.22E+10,6.11E+10,7.70E+09,1.02E+03,4.80E-14
720,1.10E+12,1.09E+12,2.46E+09,1.34E+07,7.54E+03,7.08E+10,4.81E+10,7.20E+09,1.02E+03,3.76E-14
740,1.02E+12,8.27E+11,1.54E+09,7.91E+06,3.92E+03,6.94E+10,3.80E+10,6.73E+09,1.02E+03,2.98E-14
760,9.45E+11,6.28E+11,9.72E+08,4.67E+06,2.05E+03,6.81E+10,3.00E+10,6.28E+09,1.02E+03,2.38E-14
780,8.78E+11,4.78E+11,6.14E+08,2.77E+06,1.07E+03,6.68E+10,2.37E+10,5.85E+09,1.02E+03,1.92E-14
800,8.16E+11,3.64E+11,3.89E+08,1.65E+06,5.65E+02,6.56E+10,1.88E+10,5.45E+09,1.02E+03,1.57E-14
820,7.58E+11,2.78E+11,2.47E+08,9.83E+05,2.99E+02,6.44E+10,1.49E+10,5.07E+09,1.02E+03,1.29E-14
840,7.05E+11,2.13E+11,1.58E+08,5.89E+05,1.59E+02,6.32E+10,1.19E+10,4.72E+09,1.02E+03,1.07E-14
860,6.56E+11,1.63E+11,1.01E+08,3.54E+05,8.47E+01,6.20E+10,9.45E+09,4.40E+09,1.02E+03,9.03E-15
880,6.11E+11,1.26E+11,6.47E+07,2.14E+05,4.53E+01,6.09E+10,7.54E+09,4.09E+09,1.02E+03,7.67E-15
900,5.69E+11,9.68E+10,4.16E+07,1.29E+05,2.44E+01,5.98E+10,6.02E+09,3.81E+09,1.02E+03,6.59E-15
